kernel,baseline_us,goslp_us,speedup,baseline_checksum,goslp_checksum
array_sum,1154,1152,1.0017361111111112,1211249.804687500,1211249.804687500
dot_product,1208,1204,1.0033222591362125,1670213.671875000,1670213.671875000
rolling_sum,2487,3126,0.7955854126679462,4961449200.000000000,4961449200.000000000
vwap,1532,1709,0.8964306612053833,147.853881005,147.853881005
variance,1496,1656,0.9033816425120773,3066434.580898285,3066434.580898285
covariance,1500,1501,0.9993337774816788,4011620.004034042,4011620.004034042
